Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201542I076802,596683,225117,0.856773,51.889896,42,3,2,1,26/02/2015,5,18:54,455,E10000012,3,1124,6,30,3,4,3,133,0,0,4,1,2,0,0,1,1,E01021675
201542I076903,568405,203206,0.435644,51.702327,42,3,1,4,06/03/2015,6,20:25,454,E10000012,3,414,3,70,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01021602
201542I077003,562571,191691,0.345947,51.600599,42,3,4,1,06/03/2015,6,21:54,452,E10000012,3,128,6,30,0,-1,-1,0,0,1,4,1,1,0,0,2,1,E01021445
201542I077103,603013,223554,0.947711,51.873595,42,3,2,1,06/03/2015,6,18:35,455,E10000012,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,2,1,E01021736
201542I077203,582667,215214,0.64811,51.80572,42,3,2,1,06/03/2015,6,08:45,451,E10000012,4,1389,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01021416
201542I077303,587651,186734,0.705023,51.548289,42,3,1,1,07/03/2015,7,02:35,460,E06000033,3,127,3,30,6,2,6,0,0,5,4,1,1,0,0,1,1,E01015899
201542I077403,584882,188254,0.665932,51.562854,42,3,3,2,07/03/2015,7,09:05,460,E06000033,3,127,3,40,6,2,3,1015,0,7,1,1,1,0,0,1,1,E01015824
201542I077502,556927,179611,0.259141,51.493668,42,3,1,2,16/02/2015,2,13:55,462,E06000034,3,13,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01016012
201542I077603,558969,221331,0.307511,51.867908,42,3,2,1,07/03/2015,7,11:11,463,E10000012,4,1256,6,40,3,4,6,0,0,0,1,1,1,0,0,2,1,E01022090
201542I077702,553205,195853,0.212643,51.640617,42,3,1,1,17/02/2015,3,14:08,452,E10000012,1,25,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01021443
201542I077802,541176,199711,0.040487,51.678428,42,3,2,1,17/02/2015,3,17:00,456,E10000012,3,121,6,40,9,4,6,0,0,0,1,1,1,0,0,1,1,E01021806
201542I077903,547487,203334,0.133229,51.70936,42,3,2,1,07/03/2015,7,13:22,456,E10000012,4,181,6,60,3,4,6,0,0,0,1,1,1,0,0,2,1,E01021761
201542I078002,581768,189303,0.621599,51.573288,42,3,2,2,17/02/2015,3,14:25,459,E10000012,3,127,3,50,3,4,6,0,0,0,1,1,1,0,0,1,1,E01021965
201542I078102,541952,194027,0.049397,51.627159,42,3,2,1,17/02/2015,3,21:17,456,E10000012,4,170,6,30,3,4,6,0,0,0,4,1,1,4,0,1,1,E01021743
201542I078202,572345,189118,0.485672,51.574583,42,3,1,1,18/02/2015,4,07:07,450,E10000012,3,1321,1,50,1,4,4,1419,0,0,1,1,1,0,0,1,1,E01021270
201542I078302,579801,212170,0.60501,51.779308,42,3,3,1,19/02/2015,5,10:51,451,E10000012,3,12,7,70,5,4,4,1137,0,0,1,1,1,0,0,2,1,E01021396
201542I078403,541455,196850,0.043362,51.652651,42,2,2,1,08/03/2015,1,01:03,456,E10000012,6,0,6,30,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01021787
201542I078503,582479,186218,0.630248,51.545349,42,3,2,1,08/03/2015,1,14:36,460,E06000033,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01015910
201542I078702,544830,201213,0.093921,51.690994,42,3,2,1,19/02/2015,5,17:45,456,E10000012,4,1393,6,40,0,-1,-1,0,0,0,6,2,2,0,0,2,1,E01021763
201542I078803,576379,188401,0.543465,51.566896,42,3,2,2,08/03/2015,1,18:23,450,E10000012,3,13,1,30,1,2,3,130,0,0,4,1,1,0,0,1,1,E01021312
201542I078902,600535,225271,0.912762,51.889908,42,3,2,1,19/02/2015,5,19:51,455,E10000012,6,0,1,30,2,4,6,0,0,0,4,2,2,0,0,1,1,E01021648
201542I079002,593139,185981,0.783662,51.539676,42,3,2,1,20/02/2015,6,09:40,460,E06000033,6,0,6,30,9,4,6,0,0,0,1,1,1,0,0,1,1,E01015882
201542I079103,570995,206378,0.474643,51.730038,42,2,1,1,08/03/2015,1,00:31,454,E10000012,3,1060,3,40,0,-1,-1,0,0,0,6,1,1,0,0,1,1,E01033140
201542I079202,538402,201716,0.001186,51.697134,42,3,2,1,20/02/2015,6,16:45,456,E10000012,4,194,6,40,0,-1,-1,0,0,0,6,1,1,0,0,1,1,E01021812
201542I079303,561097,231039,0.342927,51.954508,42,3,1,1,09/03/2015,2,21:42,463,E10000012,4,184,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01022092
201542I079402,572293,188142,0.484444,51.565832,42,3,2,1,20/02/2015,6,23:59,450,E10000012,4,1464,1,30,1,4,4,1419,0,0,4,1,1,0,0,1,1,E01021327
201542I079503,593104,197736,0.789622,51.645256,42,3,2,1,09/03/2015,2,08:00,458,E10000012,4,1010,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01033057
201542I079602,574209,209349,0.52262,51.755736,42,3,1,1,20/02/2015,6,12:30,454,E10000012,4,1137,1,60,1,4,3,12,0,0,1,1,1,0,0,2,1,E01021537
201542I079702,599069,226660,0.892288,51.902905,42,3,2,1,21/02/2015,7,18:00,455,E10000012,4,1508,3,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01021681
201542I079803,556137,221174,0.266342,51.867297,42,3,1,1,09/03/2015,2,19:00,463,E10000012,4,183,6,60,3,4,6,0,0,0,6,1,1,0,0,2,1,E01022091
201542I079902,563642,180548,0.356218,51.500183,42,3,3,2,21/02/2015,7,17:55,462,E06000034,4,188,6,40,0,-1,-1,0,0,0,4,1,2,0,0,2,1,E01015977
201542I080003,562754,237928,0.370284,52.01591,42,3,1,1,09/03/2015,2,08:00,463,E10000012,4,1054,6,60,0,-1,-1,0,0,0,1,1,4,0,0,2,1,E01022097
201542I080102,575858,223035,0.553429,51.87815,42,3,1,1,22/02/2015,1,03:15,451,E10000012,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01033459
201542I080203,558699,177726,0.283798,51.476238,42,2,2,1,10/03/2015,3,21:00,462,E06000034,3,1090,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01016012
201542I080402,562511,196737,0.347421,51.645949,42,3,3,1,22/02/2015,1,09:40,452,E10000012,3,12,7,70,5,4,3,1023,0,0,1,1,1,0,0,2,1,E01021467
201542I080503,575644,221476,0.549531,51.864214,42,3,2,1,10/03/2015,3,08:50,451,E10000012,3,120,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01021371
201542I080703,548788,212074,0.15578,51.787544,42,3,1,1,10/03/2015,3,04:10,456,E10000012,4,183,6,60,0,-1,-1,0,0,0,6,1,1,0,0,1,1,E01021795
201542I080803,624877,230557,1.269358,51.928077,42,3,2,1,10/03/2015,3,17:28,461,E10000012,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01022005
201542I080903,602220,225465,0.937327,51.891041,42,3,2,1,10/03/2015,3,16:55,455,E10000012,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01021696
201542I081003,577040,195284,0.556463,51.628515,42,3,2,1,10/03/2015,3,09:37,454,E10000012,3,130,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01021594
201542I081103,550580,223103,0.186537,51.886154,42,3,2,1,11/03/2015,4,07:47,463,E10000012,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,2,1,E01022087
201542I081203,548854,198967,0.151138,51.669763,42,3,2,1,11/03/2015,4,18:08,456,E10000012,1,25,3,70,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01021800
201542I081303,616703,215252,1.141075,51.793918,42,3,2,1,11/03/2015,4,14:03,461,E10000012,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01021968
201542I081403,599582,229058,0.901123,51.924254,42,3,2,1,12/03/2015,5,14:49,455,E10000012,3,12,1,40,1,4,6,0,0,0,1,1,1,0,0,2,1,E01021682
201542I081503,564355,205369,0.378109,51.722958,42,3,4,3,12/03/2015,5,10:46,454,E10000012,3,414,6,60,8,4,6,0,0,0,1,1,1,0,0,2,1,E01021551
201542I081603,579304,232572,0.608399,51.96271,42,3,1,1,12/03/2015,5,07:42,451,E10000012,3,1124,6,40,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01021397
201542I081703,569236,244128,0.467715,52.069663,42,3,2,1,12/03/2015,5,11:31,451,E10000012,3,1017,6,50,3,4,6,0,0,0,1,1,1,0,0,2,1,E01021376
201542I081802,572481,208801,0.497338,51.751348,42,3,1,1,22/02/2015,1,15:55,454,E10000012,6,0,6,20,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01021619
201542I081902,590710,186564,0.748996,51.545737,42,3,2,1,23/02/2015,2,17:00,460,E06000033,6,0,6,30,6,3,6,0,0,0,1,1,1,0,0,1,1,E01015888
201542I082002,567668,202389,0.424596,51.695209,42,3,2,1,23/02/2015,2,17:08,454,E10000012,3,12,7,50,1,4,3,414,0,0,1,1,1,0,0,2,1,E01021602
